Name,Goals,Expected goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Tackles,Interceptions,Clearances,Errors leading to goal,Blocked shots,Big chances created,Assists,Accurate passes,Accurate passes %,Key passes
Dimitri Foulquier,0,0.57,0,10,6,0.0,15,8,40,0,1.0,0,0,439,84.75,6
Djené,0,0.13,0,7,4,0.0,24,15,105,0,8.0,0,0,462,80.07,1
Djibril Sow,2,0.94,1,3,12,16.67,24,13,7,0,1.0,1,0,491,88.63,13
Dodi Lukebakio,1,0.08,0,1,2,50.0,0,1,0,0,0.0,1,0,62,86.11,9
Domingos Duarte,0,0.63,0,0,8,0.0,18,20,126,0,8.0,0,0,457,77.46,0
Donny van de Beek,0,0.09,0,0,2,0.0,0,0,2,0,1.0,0,0,12,92.31,0
Dro Fernández,0,,0,4,0,0.0,1,0,0,0,0.0,0,0,40,85.11,2
Duje Ćaleta-Car,0,0.64,1,0,6,0.0,10,15,58,0,11.0,0,0,627,88.94,3
Dávid Hancko,0,0.81,1,6,15,0.0,39,14,64,0,6.0,4,2,931,86.28,12
Edu Expósito,0,1.63,3,18,26,0.0,31,14,18,0,1.0,8,5,495,77.46,56
Eduardo Camavinga,1,1.06,0,11,10,10.0,42,8,14,0,5.0,1,0,602,92.05,9
Endrick,0,,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
Eray Cömert,1,0.33,0,0,1,100.0,10,9,31,0,1.0,0,0,168,82.35,1
Eric Bailly,0,0.22,0,0,2,0.0,3,8,23,0,8.0,0,0,182,88.78,0
Eric García,1,2.61,3,2,19,5.26,52,33,56,0,7.0,1,1,1358,91.02,24
Etta Eyong,6,7.3,8,10,40,15.0,27,4,15,0,0.0,3,3,168,70.0,12
Facundo Garcés,0,0.3,1,0,7,0.0,12,7,63,0,8.0,0,0,297,84.86,0
Federico Gattoni,0,,0,0,0,0.0,0,0,2,0,0.0,0,0,1,100.0,0
Federico Redondo,0,,0,0,0,0.0,1,3,4,0,0.0,0,0,33,86.84,0
Federico Valverde,1,1.65,1,15,32,3.13,34,15,40,1,6.0,5,6,1122,89.12,32
Federico Viñas,3,4.03,7,25,23,13.04,29,7,7,0,1.0,3,0,186,74.7,16
Fer López,0,,0,11,0,0.0,0,0,3,0,1.0,0,0,105,82.03,3
Ferland Mendy,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,2,66.67,0
Fermín López,4,3.83,4,21,37,10.81,23,5,3,0,0.0,10,5,430,87.04,21
Fernando Calero,0,1.58,4,2,9,0.0,20,21,94,0,25.0,1,0,804,88.64,3
Ferran Jutglà,2,2.6,2,5,21,9.52,5,3,8,0,1.0,1,1,158,77.45,10
Ferran Torres,12,11.27,17,5,51,23.53,4,3,4,0,1.0,3,1,214,74.05,17
Filip Ugrinić,0,0.47,0,6,9,0.0,10,6,15,0,2.0,3,3,281,82.89,9
Flavien Boyomo,1,0.45,0,3,3,33.33,45,12,83,1,12.0,2,1,618,82.4,7
Florian Lejeune,0,1.06,0,5,28,0.0,39,25,122,0,18.0,1,0,1176,88.22,9
Fran Beltrán,0,0.36,0,2,9,0.0,17,8,9,0,3.0,1,0,466,91.19,2
Fran García,1,0.71,1,1,3,33.33,9,4,3,0,3.0,0,0,178,89.45,2
Fran Pérez,1,1.11,2,8,8,12.5,9,2,2,0,1.0,3,0,159,81.96,11
Franco Mastantuono,1,2.13,3,15,22,4.55,20,2,1,0,0.0,2,0,333,90.74,9
Frenkie de Jong,0,0.69,0,4,6,0.0,35,16,13,0,4.0,8,4,1099,93.93,26
Fábio Cardoso,0,,0,0,0,0.0,5,3,22,0,1.0,0,0,131,92.91,0
Gabriel Suazo,0,0.42,0,10,4,0.0,55,14,26,1,3.0,4,1,526,84.43,29
Georges Mikautadze,6,4.51,10,13,32,18.75,1,3,4,0,1.0,5,4,129,70.11,13
Gerard Gumbau,0,0.22,0,4,8,0.0,10,3,13,0,2.0,0,1,169,84.5,7
Gerard Martín,0,0.05,0,4,2,0.0,25,14,44,0,4.0,1,0,818,89.79,10
Gerard Moreno,7,3.72,2,9,21,33.33,10,3,6,0,1.0,4,0,223,77.7,18
Germán Valera,4,2.27,1,22,19,21.05,37,11,22,0,6.0,5,3,647,87.91,26
Giacomo Raspadori,0,0.69,1,1,7,0.0,2,0,1,0,0.0,2,1,72,79.12,4
Giovani Lo Celso,2,2.4,2,14,27,7.41,14,5,4,0,0.0,6,2,598,87.94,25
Giuliano Simeone,2,3.76,7,24,30,6.67,32,14,8,0,1.0,6,5,561,81.78,22
Goduine Koyalipou,1,1.02,1,9,10,10.0,4,1,4,0,0.0,1,0,31,57.41,1
Gonzalo García,3,2.53,3,1,8,37.5,8,2,4,0,0.0,0,0,115,87.12,5
Gonzalo Villar,0,,0,0,0,0.0,1,0,1,0,0.0,0,0,5,83.33,0
Gonçalo Guedes,6,2.8,2,15,30,20.0,19,3,5,0,0.0,4,3,271,72.46,17
Gorka Carrera Zarranz,0,,0,0,0,0.0,0,0,0,0,0.0,0,0,2,100.0,0
Gorka Guruzeta,4,6.07,7,7,47,8.51,10,4,10,0,0.0,5,1,215,72.88,16
Grady Diangana,1,0.64,0,4,11,9.09,7,4,6,0,3.0,1,0,166,84.69,6
Guido Rodríguez,0,0.03,0,0,1,0.0,2,0,0,0,0.0,0,0,19,90.48,0
Haissem Hassan,0,1.3,1,46,26,0.0,20,3,6,1,0.0,1,2,259,80.94,15
Hector Fort,1,0.55,1,8,10,10.0,8,5,6,0,1.0,0,2,98,85.22,4
